battle_animations_table	culture_pack
#culture_to_battle_animation_tables_tables;0;db/culture_to_battle_animation_tables_tables/nagash	
hu1b_bretonnian_sword_and_chalice	nag_nagash
hu1_krell_2handed_axe	nag_nagash
wm_bolt_thrower02	nag_nagash
hu1b_vampire_sword	nag_nagash
hu1b_vampire_hr1_warhorse_sword	nag_nagash
hu1b_vampire_hr1_pegasus_sword	nag_nagash
hu1_mannfred_staff_and_sword	nag_nagash
hu1_mannfred_hr1_pegasus_staff_and_sword	nag_nagash
hu1_vampire_counts_dr1_zombie_dragon_wb_sword_and_shield	nag_nagash
hu1_mannfred_hr1_warhorse_staff_and_sword	nag_nagash
hu1_vlad_sword	nag_nagash
hu1_graveguard_sword_and_shield	nag_nagash
gh1_cairn_wraith	nag_nagash
hu1_empire_staff_and_sword	nag_nagash
bi2_terrorgheist	nag_nagash
hu1_vampire_zombie_sword_draught	nag_nagash
hr1_warhorse	nag_nagash
hr1_skeletal_steed	nag_nagash
hr1_skeletal_steed_draught	nag_nagash
dr1_dragon_zombie	nag_nagash
hr1_pegasus	nag_nagash
bc2_deathclaw	nag_nagash
gh1_banshee_mortisengine	nag_nagash
gh1_banshee_mortisengine_nagash	nag_nagash
hu1_sk_mortisengine_left_00	nag_nagash
hu1_sk_mortisengine_left_01	nag_nagash
hu1_sk_mortisengine_left_02	nag_nagash
hu1_sk_mortisengine_right_00	nag_nagash
hu1_sk_mortisengine_right_01	nag_nagash
hu1_sk_mortisengine_right_02	nag_nagash
hu1_skeleton_hr1_skeletal_steed_mortis_engine	nag_nagash
wm_mortisengine01	nag_nagash
wm_mortisengine01_nagash	nag_nagash
ba1_bat	nag_nagash
bc1_warsphinx	nag_nagash
bi1_dlc15_phoenix	nag_nagash
bi1_eagle	nag_nagash
bi1b_carrion	nag_nagash
ce1_necrosphinx	nag_nagash
ce3_necrosphinx_blades	nag_nagash
dr1_dragon	nag_nagash
dr1_dragon_boss	nag_nagash
gi1_colossus_bow	nag_nagash
gi1_colossus_dual_swords	nag_nagash
gi1_hierotitan_staff_and_scales	nag_nagash
hr1_arkhan_tomb_steed_draught	nag_nagash
hr1_hexwraiths_skeletal_steed	nag_nagash
hr1_tomb_steed	nag_nagash
hr1_tomb_steed_draught	nag_nagash
hu1_arkhan_staff_and_sword	nag_nagash
hu1_arkhan_wm_tomb_chariot01_staff_and_sword	nag_nagash
hu1_empire_sword_and_shield	nag_nagash
hu1_liche_priest_hr1_tomb_steed_staff_and_sword	nag_nagash
hu1_liche_priest_staff_and_sword	nag_nagash
hu1_liche_priest_wm_tomb_chariot01_staff_and_sword	nag_nagash
hu1_settra_2handed_halberd	nag_nagash
hu1_settra_wm_tomb_chariot01_2handed_halberd	nag_nagash
hu1_tomb_2handed_sword	nag_nagash
hu1_tomb_dual_swords	nag_nagash
hu1_tomb_halberd_and_shield	nag_nagash
hu1_tomb_hr1_tomb_steed_halberd	nag_nagash
hu1_tomb_hr1_tomb_steed_halberd_and_shield	nag_nagash
hu1_tomb_hr1_tomb_steed_spear_and_shield	nag_nagash
hu1_tomb_hr1_tomb_steed_staff_and_sword	nag_nagash
hu1_tomb_hr1_tomb_steed_sword_and_bow	nag_nagash
hu1_tomb_hr1_tomb_steed_sword_and_shield	nag_nagash
hu1_tomb_hr1_tomb_steed_sword_and_whip	nag_nagash
hu1_tomb_skeleton_dual_swords	nag_nagash
hu1_tomb_skeleton_spear_and_shield	nag_nagash
hu1_tomb_skeleton_sword	nag_nagash
hu1_tomb_skeleton_sword_and_bow	nag_nagash
hu1_tomb_skeleton_sword_and_shield	nag_nagash
hu1_tomb_sn1_serpent_spear	nag_nagash
hu1_tomb_sn1_serpent_spear_and_shield	nag_nagash
hu1_tomb_sword_and_shield	nag_nagash
hu1_tomb_sword_and_whip	nag_nagash
hu1_tomb_wb_bigcat01_bow	nag_nagash
hu1_tomb_wm_tomb_chariot01_2handed_halberd	nag_nagash
hu1_tomb_wm_tomb_chariot01_sword_and_bow	nag_nagash
hu1_tomb_wm_tomb_chariot01_sword_and_shield	nag_nagash
hu1_tomb_wm_tomb_chariot01_whip	nag_nagash
hu1_vampire_counts_hr1_warhorse_scythe	nag_nagash
hu1_wight_king_sword_and_shield	nag_nagash
hu1b_khalida_sn1_serpent_staff_and_sword	nag_nagash
hu1b_khalida_staff_and_sword	nag_nagash
hu1b_tomb_wm_chariot01_staff_and_sword	nag_nagash
hu6e_ushabti_dual_swords	nag_nagash
hu6e_ushabti_sword_and_bow	nag_nagash
hu8_crypt_horror_club	nag_nagash
hu8c_ghoul_club	nag_nagash
sc1_scorpion01	nag_nagash
sn1_khalida_serpent	nag_nagash
sn1_sepulchral_stalker_halberd	nag_nagash
sn1_serpent	nag_nagash
wf1_dire_wolf	nag_nagash
wm_arkhan_tomb_chariot01	nag_nagash
wm_casket_souls01	nag_nagash
wm_catapult01	nag_nagash
wm_tomb_chariot01	nag_nagash
hr1_vmp_skeletal_steed_mortisengine	nag_nagash
hu1b_cst_admiral_cutlass_and_pistol	nag_nagash
hu1_vampire_zombie_sword	nag_nagash
hu1_skeleton_sword_and_shield	nag_nagash
hu1_skeleton_spear_and_shield	nag_nagash
hu1_empire_hr1_warhorse_lance_sword_shield	nag_nagash
hu1_black_knights_hr1_skeletal_steed_lance_sword_shield	nag_nagash
hu8b_vargheist	nag_nagash
hu1_black_knights_hr1_skeletal_steed_sword_and_shield	nag_nagash
hc2_cst_hulks	nag_nagash
gh4_cst_mourngul	nag_nagash
hu1_graveguard_2handed_sword	nag_nagash
wm_bolt_thrower01b	nag_nagash
hu12_minotaur_dual_axe	nag_nagash
hu12_minotaur_2handed_axe	nag_nagash
hu1_nagash_staff_and_sword	nag_nagash
hu1_cst_zombie_dual_cutlass	nag_nagash
hu1_cst_zombie_halberd	nag_nagash
hu1_cst_zombie_cutlass_and_pistol	nag_nagash
hu1_cst_zombie_rifle	nag_nagash
hu13_cst_bloated_corpse	nag_nagash
bc2_griffon	nag_nagash
hu1b_elf_staff_and_sword	nag_nagash
hu4e_bone_colossus	nag_nagash
hu1b_def_lord_staff_and_sword	nag_nagash
hu1b_bretonnian_hr1_warhorse_staff_and_sword	nag_nagash
hu1_empire_bc2_griffon_wb_hammer	nag_nagash
hu1_empire_bc2_griffon_wb_staff_and_sword	nag_nagash
hu1_empire_bc2_griffon_wb_sword_shield	nag_nagash
hu1b_dlc15_princess_bc2_griffon_wb_sword_bow	nag_nagash
hu1b_elf_hr1_pegasus_staff_and_sword	nag_nagash
hu1b_elf_bc3_manticore_wb_staff_and_sword	nag_nagash
wm_mortisengine01_centered	nag_nagash
wm_mortisengine01_minus_5	nag_nagash
wm_mortisengine01_magnified	nag_nagash
wm_mortisengine01_magnified_reversed	nag_nagash
wm_mortisengine01_centered_dynamic	nag_nagash
wm_mortisengine01_minus_5_green	nag_nagash
wm_mortisengine01_magnified_green	nag_nagash
wm_mortisengine01_magnified_reversed_green	nag_nagash
gh1_banshee	nag_nagash
wm_corpsecart01_virion	nag_nagash
gh1_cairn_wraith_wm_carriage01	nag_nagash
gh1_banshee_revenant	nag_nagash
