character_skill	character_level	upgrade_to_skill_level
#character_skills_to_level_reached_criterias_tables;0;db/character_skills_to_level_reached_criterias_tables/rhox_nagash		
nag_skill_unique_nagash_morikhane	12	1
nag_skill_unique_nagash_mortis	16	1
nag_skill_unique_nagash_alakanash	6	1
nag_skill_mount_mannfred_barded_nightmare	6	1
nag_skill_mount_mannfred_abyssal	16	1
nag_skill_unique_mannfred_armour_of_templehof	10	1
nag_skill_unique_mannfred_sword_of_unholy_power	5	1
nag_skill_mount_arkhan_skeletal_steed	5	1
nag_skill_mount_arkhan_skeleton_chariot	12	1
nag_skill_mount_arkhan_abyssal	16	1
nag_skill_unique_arkhan_staff_of_nagash	7	1
nag_skill_unique_arkhan_the_tomb_blade_of_arkhan	4	1
nag_skill_mount_neferata_warhorse	6	1
nag_skill_mount_neferata_abyssal	16	1
nag_skill_unique_neferatal_dagger_of_jet	7	1
nag_skill_unique_neferatal_staff_of_pain	11	1
nag_skill_mount_luthor_harkon_terrorgheist	16	1
nag_skill_unique_luthor_slann_gold	12	1
nag_skill_unique_vlad_blood_drinker	5	1
nag_skill_unique_vlad_the_carstein_ring	11	1
nag_skill_unique_krell_armour_of_the_barrows	13	1
nag_skill_unique_krell_black_axe_of_krell	12	1
nag_skill_unique_krell_chaos_tomb_blade	8	1
nag_skill_unique_isabella_blood_chalice_of_bathori	6	1
nag_skill_mount_isabella_barded_nightmare	7	1
nag_skill_mount_isabella_hellsteed	9	1
nag_lord_unique_tomb_king_skeletal_steed	3	1
nag_lord_unique_tomb_king_skeleton_chariot	9	1
nag_lord_unique_tomb_king_khemrian_warsphinx	13	1
nag_champion_unique_tomb_prince_skeletal_steed	3	1
nag_champion_unique_tomb_prince_skeleton_chariot	9	1
nag_wizard_unique_liche_priest_death_skeletal_steed	6	1
nag_wizard_unique_liche_priest_light_skeletal_steed	6	1
nag_wizard_unique_liche_priest_nehekhara_skeletal_steed	6	1
nag_wizard_unique_liche_priest_shadow_skeletal_steed	6	1
nag_wizard_unique_liche_priest_undeath_skeletal_steed	6	1
nag_dignitary_shadow_unique_vampire_barded_nightmare	7	1
nag_dignitary_shadow_unique_vampire_hellsteed	9	1
nag_dignitary_unique_vampire_barded_nightmare	7	1
nag_dignitary_unique_vampire_hellsteed	9	1
nag_vmp_champion_unique_wight_king_skeletal_steed	3	1
nag_vmp_champion_unique_wight_king_barded_skeletal_steed	6	1
nag_cst_engineer_unique_gunnery_wight_rotting_pro	9	1
nag_skill_vmp_dieter_helsnicht_item_01	7	1
nag_skill_vmp_dieter_helsnicht_item_02	10	1
nag_skill_azhag_anc_armour_azhags_ard_armour	11	1
nag_skill_azhag_anc_enchanted_item_the_crown_of_sorcery	6	1
nag_skill_azhag_anc_weapon_slaggas_slashas	16	1
nag_lord_unique_vmp_master_necromancer_barded_nightmare	7	1
nag_lord_unique_vmp_master_necromancer_hellsteed	9	1
nag_lord_unique_master_necromancer_corpse_cart	9	1
nag_lord_unique_master_necromancer_corpse_cart_balefire	12	1
nag_lord_unique_master_necromancer_corpse_cart_unholy_lodestone	15	1
nag_lord_unique_vampire_lord_barded_nightmare	7	1
nag_lord_unique_vampire_lord_hellsteed	9	1
nag_lord_unique_vampire_lord_zombie_dragon	17	1
nag_Soulreaper	9	1
nag_elo_hand_punished_one	11	1
nag_elo_hungering_blade	6	1
nag_mixu_cst_drekla_weapon_the_silver_hook_of_sartosa	15	1
nag_mixu_cst_drekla_talisman_king_kalhazzars_sun_blanched_skull	7	1
nag_skill_grn_lord_unique_azhag_skullmuncha	13	1
