agent_subtype	ancillary	rank	instant	is_quest_battle
#character_ancillary_quest_ui_details_tables;2;db/character_ancillary_quest_ui_details_tables/rhox_nagash				
nag_nagash_boss	nag_anc_armour_morikhane_the_black_armour	13	true	false
nag_nagash_boss	nag_anc_weapon_the_mortis_blade	17	true	false
nag_nagash_boss	nag_anc_arcane_item_alakanash_staff_of_power	7	true	false
nag_nagash_boss	nag_anc_enchanted_item_crown_of_nagash	20	false	false
nag_mortarch_mannfred	nag_anc_armour_armour_of_templehof	11	true	false
nag_mortarch_mannfred	nag_anc_weapon_sword_of_unholy_power	6	true	false
nag_mortarch_arkhan	nag_anc_arcane_item_staff_of_nagash	8	true	false
nag_mortarch_arkhan	nag_anc_weapon_the_tomb_blade_of_arkhan	4	true	false
nag_mortarch_neferata	nag_anc_weapon_dagger_of_jet	8	true	false
nag_mortarch_neferata	nag_anc_arcane_item_staff_of_pain	12	true	false
nag_mortarch_luthor	nag_anc_enchanted_item_slann_gold	13	true	false
nag_mortarch_vlad	nag_anc_weapon_blood_drinker	6	true	false
nag_mortarch_vlad	nag_anc_talisman_the_carstein_ring	12	true	false
nag_mortarch_krell	nag_anc_weapon_black_axe_of_krell	13	true	false
nag_mortarch_krell	nag_anc_weapon_chaos_tomb_blade	8	true	false
nag_mortarch_isabella	nag_anc_enchanted_item_blood_chalice_of_bathori	7	true	false
nag_mortarch_krell	nag_anc_armour_armour_of_the_barrows	10	true	false
nag_nagash_husk	nag_anc_arcane_item_alakanash_staff_of_power	7	true	false
nag_mortarch_dieter	mixu_vmp_dieter_helsnicht_weapon_chaos_runesword	8	true	false
nag_mortarch_dieter	mixu_vmp_dieter_helsnicht_arcane_item_staff_of_flaming_death	11	true	false
nag_mortarch_azhag	nag_anc_armour_azhags_ard_armour	12	true	false
nag_mortarch_azhag	nag_anc_enchanted_item_the_crown_of_sorcery	7	true	false
nag_mortarch_azhag	nag_anc_weapon_slaggas_slashas	17	true	false
nag_lahmia_neferata	nag_anc_weapon_dagger_of_jet	8	true	false
nag_lahmia_neferata	nag_anc_arcane_item_staff_of_pain	12	true	false
nag_mortarch_dk	nag_Soulreaper	10	true	false
nag_mortarch_hand	nag_elo_hand_punished_one	12	true	false
nag_mortarch_hand	nag_elo_hungering_blade	7	true	false
nag_mortarch_drekla	mixu_cst_drekla_weapon_the_silver_hook_of_sartosa	16	true	false
nag_mortarch_drekla	mixu_cst_drekla_talisman_king_kalhazzars_sun_blanched_skull	8	true	false
