key	chance_to_replenish	max_count	unit_record	use_partial_replenishment	max_replenish_per_turn
#mercenary_unit_groups_tables;2;db/mercenary_unit_groups_tables/rhox_nagash					
nag_bone_colossus	100.0000	1	nag_bone_colossus	true	0.1000
gp_nag_virion_plague_cart	100.0000	1	gp_nag_virion_plague_cart	true	0.1000
nag_revenants	100.0000	1	nag_revenants	true	0.1000
nag_shade_haunts	100.0000	1	nag_shade_haunts	true	0.1000
nag_vanilla_vmp_cav_blood_knights_0	0.0000	0	nag_vanilla_vmp_cav_blood_knights_0	false	1.0000
nag_vanilla_vmp_veh_corpse_cart_1	0.0000	0	nag_vanilla_vmp_veh_corpse_cart_1	false	1.0000
nag_vanilla_vmp_veh_corpse_cart_2	0.0000	0	nag_vanilla_vmp_veh_corpse_cart_2	false	1.0000
nag_vanilla_vmp_cav_black_knights_0	0.0000	0	nag_vanilla_vmp_cav_black_knights_0	false	1.0000
nag_vanilla_vmp_cav_black_knights_3	0.0000	0	nag_vanilla_vmp_cav_black_knights_3	false	1.0000
nag_vanilla_vmp_cav_hexwraiths	0.0000	0	nag_vanilla_vmp_cav_hexwraiths	false	1.0000
nag_vanilla_vmp_inf_cairn_wraiths	0.0000	0	nag_vanilla_vmp_inf_cairn_wraiths	false	1.0000
nag_vanilla_vmp_inf_crypt_ghouls	0.0000	0	nag_vanilla_vmp_inf_crypt_ghouls	false	1.0000
nag_vanilla_vmp_inf_grave_guard_0	0.0000	0	nag_vanilla_vmp_inf_grave_guard_0	false	1.0000
nag_vanilla_vmp_inf_grave_guard_1	0.0000	0	nag_vanilla_vmp_inf_grave_guard_1	false	1.0000
nag_vanilla_vmp_mon_crypt_horrors	0.0000	0	nag_vanilla_vmp_mon_crypt_horrors	false	1.0000
nag_vanilla_vmp_mon_dire_wolves	0.2000	2	nag_vanilla_vmp_mon_dire_wolves	false	1.0000
nag_vanilla_vmp_mon_fell_bats	0.2000	2	nag_vanilla_vmp_mon_fell_bats	false	1.0000
nag_vanilla_vmp_mon_vargheists	0.0000	0	nag_vanilla_vmp_mon_vargheists	false	1.0000
nag_vanilla_vmp_mon_varghulf	0.0000	0	nag_vanilla_vmp_mon_varghulf	false	1.0000
nag_vanilla_vmp_inf_skeleton_warriors_0	0.0000	0	nag_vanilla_vmp_inf_skeleton_warriors_0	false	1.0000
nag_vanilla_vmp_inf_skeleton_warriors_1	0.0000	0	nag_vanilla_vmp_inf_skeleton_warriors_1	false	1.0000
nag_vanilla_vmp_inf_zombie	0.3500	3	nag_vanilla_vmp_inf_zombie	false	3.0000
nag_vanilla_cst_inf_zombie_gunnery_mob_0	0.0000	0	nag_vanilla_cst_inf_zombie_gunnery_mob_0	false	1.0000
nag_vanilla_cst_inf_zombie_gunnery_mob_1	0.0000	0	nag_vanilla_cst_inf_zombie_gunnery_mob_1	false	1.0000
nag_vanilla_cst_inf_zombie_deckhands_mob_1	0.0000	0	nag_vanilla_cst_inf_zombie_deckhands_mob_1	false	1.0000
nag_vanilla_cst_inf_zombie_deckhands_mob_0	0.0000	0	nag_vanilla_cst_inf_zombie_deckhands_mob_0	false	1.0000
nag_vanilla_cst_mon_bloated_corpse_0	0.0000	0	nag_vanilla_cst_mon_bloated_corpse_0	false	1.0000
nag_vanilla_tmb_inf_skeleton_archers_0	0.2000	2	nag_vanilla_tmb_inf_skeleton_archers_0	false	1.0000
nag_vanilla_tmb_inf_skeleton_spearmen_0	0.2000	2	nag_vanilla_tmb_inf_skeleton_spearmen_0	false	1.0000
nag_vanilla_tmb_inf_skeleton_warriors_0	0.2000	2	nag_vanilla_tmb_inf_skeleton_warriors_0	false	1.0000
nag_vanilla_tmb_inf_nehekhara_warriors_0	0.1000	1	nag_vanilla_tmb_inf_nehekhara_warriors_0	false	1.0000
