agent_subtype	campaign_type
#campaign_to_agent_subtypes_tables;0;db/campaign_to_agent_subtypes_tables/rhox_nagash	
nag_nagash_boss	wh3_main_combi
nag_nagash_husk	wh3_main_combi
nag_mortarch_neferata	wh3_main_combi
nag_mortarch_krell	wh3_main_combi
nag_mortarch_vlad	wh3_main_combi
nag_mortarch_mannfred	wh3_main_combi
nag_mortarch_luthor	wh3_main_combi
nag_mortarch_arkhan	wh3_main_combi
nag_mortarch_isabella	wh3_main_combi
nag_mortarch_dieter	wh3_main_combi
nag_mortarch_azhag	wh3_main_combi
nag_mortarch_dk	wh3_main_combi
nag_mortarch_hand	wh3_main_combi
nag_mortarch_drekla	wh3_main_combi
nag_guinevere	wh3_main_combi
nag_lahmia_neferata	wh3_main_combi
