child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset
#technology_node_links_tables;2;db/technology_node_links_tables/nagash_tech						
nag_arkhan_battle_1	nag_mortarch_arkhan_unlock	0	3	4	0.0	0.0
nag_arkhan_battle_2	nag_mortarch_arkhan_unlock	0	3	4	0.0	0.0
nag_arkhan_battle_3	nag_mortarch_arkhan_unlock	0	3	4	0.0	0.0
nag_arkhan_proclamation	nag_mortarch_arkhan_unlock	0	3	1	0.0	0.0
nag_arkhan_event_1	nag_mortarch_arkhan_unlock	0	1	4	0.0	0.0
nag_arkhan_event_2	nag_mortarch_arkhan_unlock	0	1	4	0.0	0.0
nagash_tech_dummy	nag_mortarch_arkhan_unlock	0	1	3	0.0	0.0
nag_arkhan_event_3	nag_mortarch_arkhan_unlock	0	1	4	0.0	0.0
nag_luthor_battle_1	nag_mortarch_luthor_unlock	0	3	4	0.0	0.0
nag_luthor_battle_2	nag_mortarch_luthor_unlock	0	3	4	0.0	0.0
nag_luthor_battle_3	nag_mortarch_luthor_unlock	0	3	4	0.0	0.0
nag_luthor_proclamation	nag_mortarch_luthor_unlock	0	3	1	0.0	0.0
nag_luthor_event_1	nag_mortarch_luthor_unlock	0	1	4	0.0	0.0
nag_luthor_event_2	nag_mortarch_luthor_unlock	0	1	4	0.0	0.0
nag_luthor_archai	nag_mortarch_luthor_unlock	0	1	3	0.0	0.0
nag_luthor_event_3	nag_mortarch_luthor_unlock	0	1	4	0.0	0.0
nag_mannfred_battle_1	nag_mortarch_mannfred_unlock	0	3	4	0.0	0.0
nag_mannfred_battle_2	nag_mortarch_mannfred_unlock	0	3	4	0.0	0.0
nag_mannfred_battle_3	nag_mortarch_mannfred_unlock	0	3	4	0.0	0.0
nag_mannfred_proclamation	nag_mortarch_mannfred_unlock	0	3	1	0.0	0.0
nag_mannfred_event_1	nag_mortarch_mannfred_unlock	0	1	4	0.0	0.0
nag_mannfred_event_2	nag_mortarch_mannfred_unlock	0	1	4	0.0	0.0
nag_mannfred_archai	nag_mortarch_mannfred_unlock	0	1	3	0.0	0.0
nag_mannfred_event_3	nag_mortarch_mannfred_unlock	0	1	4	0.0	0.0
nag_krell_battle_1	nag_mortarch_krell_unlock	0	3	4	0.0	0.0
nag_krell_battle_2	nag_mortarch_krell_unlock	0	3	4	0.0	0.0
nag_krell_battle_3	nag_mortarch_krell_unlock	0	3	4	0.0	0.0
nag_krell_proclamation	nag_mortarch_krell_unlock	0	3	1	0.0	0.0
nag_krell_event_1	nag_mortarch_krell_unlock	0	1	4	0.0	0.0
nag_krell_event_2	nag_mortarch_krell_unlock	0	1	4	0.0	0.0
nag_krell_archai	nag_mortarch_krell_unlock	0	1	3	0.0	0.0
nag_krell_event_3	nag_mortarch_krell_unlock	0	1	4	0.0	0.0
nag_neferata_battle_1	nag_mortarch_neferata_unlock	0	3	4	0.0	0.0
nag_neferata_battle_2	nag_mortarch_neferata_unlock	0	3	4	0.0	0.0
nag_neferata_battle_3	nag_mortarch_neferata_unlock	0	3	4	0.0	0.0
nag_neferata_proclamation	nag_mortarch_neferata_unlock	0	3	1	0.0	0.0
nag_neferata_event_1	nag_mortarch_neferata_unlock	0	1	4	0.0	0.0
nag_neferata_event_2	nag_mortarch_neferata_unlock	0	1	4	0.0	0.0
nag_neferata_archai	nag_mortarch_neferata_unlock	0	1	3	0.0	0.0
nag_neferata_event_3	nag_mortarch_neferata_unlock	0	1	4	0.0	0.0
nag_vlad_battle_1	nag_mortarch_vlad_unlock	0	3	4	0.0	0.0
nag_vlad_battle_2	nag_mortarch_vlad_unlock	0	3	4	0.0	0.0
nag_vlad_battle_3	nag_mortarch_vlad_unlock	0	3	4	0.0	0.0
nag_vlad_proclamation	nag_mortarch_vlad_unlock	0	3	1	0.0	0.0
nag_vlad_event_1	nag_mortarch_vlad_unlock	0	1	4	0.0	0.0
nag_vlad_event_2	nag_mortarch_vlad_unlock	0	1	4	0.0	0.0
nag_vlad_archai	nag_mortarch_vlad_unlock	0	1	3	0.0	0.0
nag_vlad_event_3	nag_mortarch_vlad_unlock	0	1	4	0.0	0.0
nag_nagash_ultimate	nag_location_nagashizzar	0	2	4	0.0	0.0
nag_nagash_ultimate	nag_location_mourkain	0	2	4	0.0	0.0
nag_nagash_ultimate	nag_location_lahmia	0	2	4	0.0	0.0
nag_nagash_ultimate	nag_location_khemri	0	2	4	0.0	0.0
nag_nagash_ultimate	nag_location_awakening	0	2	4	0.0	0.0
nag_nagash_ultimate	nag_location_drakenhof	0	2	4	0.0	0.0
nag_nagash_ultimate	nag_location_quintex	0	2	4	0.0	0.0
