building_upgrades_junction_tables	0
from	to
nag_outpost_primary_main_ruin	nag_outpost_primary_main_1
nag_outpost_primary_main_1	nag_outpost_primary_main_2
nag_outpost_primary_main_2	nag_outpost_primary_main_3
nag_outpost_primary_main_3	nag_outpost_primary_main_4
nag_outpost_primary_main_4	nag_outpost_primary_main_5
nag_outpost_primary_main_coast_ruin	nag_outpost_primary_main_coast_1
nag_outpost_primary_main_coast_1	nag_outpost_primary_main_coast_2
nag_outpost_primary_main_coast_2	nag_outpost_primary_main_coast_3
nag_outpost_primary_main_coast_3	nag_outpost_primary_main_coast_4
nag_outpost_primary_main_coast_4	nag_outpost_primary_main_coast_5
nag_outpostnorsca_primary_main_ruin	nag_outpostnorsca_primary_main_1
nag_outpostnorsca_primary_main_coast_ruin	nag_outpostnorsca_primary_main_coast_1
nag_outpost_secondary_main_ruin	nag_outpost_secondary_main_1
nag_outpost_secondary_main_coast_ruin	nag_outpost_secondary_main_coast_1
nag_outpostnorsca_secondary_main_ruin	nag_outpostnorsca_secondary_main_1
nag_outpostnorsca_secondary_coast_main_ruin	nag_outpostnorsca_secondary_main_coast_1
nag_outpost_main_port_ruin	nag_outpost_main_port_1
