ancillary	agent
#ancillary_to_included_agents_tables;0;db/ancillary_to_included_agents_tables/rhox_nagash	
nag_anc_mount_mannfred_abyssal	general
nag_anc_mount_arkhan_abyssal	general
nag_anc_mount_neferata_abyssal	general
nag_anc_mount_mannfred_barded_nightmare	general
nag_anc_mount_neferata_warhorse	general
nag_anc_mount_neferata_hellsteed	general
nag_anc_mount_luthor_harkon_terrorgheist	general
nag_anc_mount_arkhan_skeletal_steed	general
nag_anc_mount_arkhan_skeleton_chariot	general
nag_anc_mount_isabella_barded_nightmare	dignitary
nag_anc_mount_isabella_hellsteed	dignitary
nag_anc_mount_vmp_vampire_lord_barded_nightmare	general
nag_anc_mount_vmp_vampire_lord_hellsteed	general
nag_anc_mount_vmp_vampire_lord_zombie_dragon	general
nag_anc_mount_vmp_master_necromancer_corpse_cart	general
nag_anc_mount_vmp_master_necromancer_corpse_cart_balefire	general
nag_anc_mount_vmp_master_necromancer_corpse_cart_unholy_lodestone	general
nag_anc_mount_vmp_master_necromancer_barded_nightmare	general
nag_anc_mount_vmp_master_necromancer_hellsteed	general
wh2_dlc09_anc_magic_standard_banner_of_the_hidden_dead	general
wh2_dlc09_anc_magic_standard_standard_of_the_undying_legion	general
wh2_dlc11_anc_magic_standard_bloodied_banner_of_slayers	general
wh2_dlc11_anc_magic_standard_burnt_banner_of_knights	general
wh2_dlc11_anc_magic_standard_corpse_surgeon	general
wh2_dlc11_anc_magic_standard_dead_mans_chest	general
wh2_dlc11_anc_magic_standard_holed_banner_of_militia	general
wh2_dlc11_anc_magic_standard_skull_and_crossbones	general
wh2_dlc11_anc_magic_standard_spell_of_the_necromancers_apprentice	general
wh2_dlc11_anc_magic_standard_torn_banner_of_pilgrims	general
mount_chariot_hand_of_nagash	champion
