member	context	subculture
#campaign_group_member_criteria_subcultures_tables;1;db/campaign_group_member_criteria_subcultures_tables/rhox_nagash		
rhox_nagash_sc_mixer_nag_nagashoccupation_decision_colonise	ACTOR	mixer_nag_nagash
rhox_nagash_sc_mixer_nag_nagashoccupation_decision_do_nothing	ACTOR	mixer_nag_nagash
rhox_nagash_sc_mixer_nag_nagashoccupation_decision_loot	ACTOR	mixer_nag_nagash
rhox_nagash_sc_mixer_nag_nagashoccupation_decision_occupy	ACTOR	mixer_nag_nagash
rhox_nagash_sc_mixer_nag_nagashoccupation_decision_raze_without_occupy	ACTOR	mixer_nag_nagash
rhox_nagash_sc_mixer_nag_nagashoccupation_decision_resettle	ACTOR	mixer_nag_nagash
rhox_nagash_sc_mixer_nag_nagashoccupation_decision_sack	ACTOR	mixer_nag_nagash
rhox_nagash_sc_mixer_nag_nagashoccupation_decision_vassal	ACTOR	mixer_nag_nagash
nag_interrogate	ACTOR	mixer_nag_nagash
nag_waaagh	ACTOR	mixer_nag_nagash
rhox_nagash_seducible_factions_subcult_vmp	ACTOR	wh_main_sc_vmp_vampire_counts
rhox_nagash_seducible_factions_subcult_cst	ACTOR	wh2_dlc11_sc_cst_vampire_coast
rhox_nagash_seducible_factions_subcult_jade	ACTOR	mixer_vmp_jade_vampires
rhox_nagash_seducible_factions_subcult_tmb	ACTOR	wh2_dlc09_sc_tmb_tomb_kings
