key	unit_attribute	unit_set
#unit_set_unit_attribute_junctions_tables;0;db/unit_set_unit_attribute_junctions_tables/rhox_nagash		
nag_army_vamp_strider	strider	nag_army_count_units
nag_army_nagashizzar_fatigue_res	fatigue_res	nag_army_nagashizzar_units
nag_army_stalk_scorpion	stalk	nag_army_sneaky_sand
nag_effect_tech_vanguard_necropolis	guerrilla_deploy	nag_tech_necropolis_knights
nag_effect_tech_vanguard_black_knights	guerrilla_deploy	nag_black_knights_unit_set
nag_neferata_unit_effect	stalk	nag_neferata_unit_set
nag_army_nagashizzar_fatigue_res_azhag	fatigue_res	nag_army_nagashizzar_units_azhag
nag_army_vanguard_undead_green_morghasts	guerrilla_deploy	nag_undead_green_morghast
nag_arkhan_devastating_flanker_chariots	devastating_flanker	nag_arkhan_tomb_chariots
