variant_name	tech_folder	variant_filename	low_poly_filename	mount_scale	scale	scale_variation	super_low_poly_filename
#variants_tables;6;db/variants_tables/nagash							
nag_nagash_husk		nag_nagash_husk		1.0	1.2	0.0	
nag_nagash_revenant		nag_nagash_revenant		1.0	1.2	0.0	
nag_nagash_boss		nag_nagash_boss		1.0	4.0	0.0	
nag_neferata		nag_neferata		1.0	1.2	0.0	
nag_neferata_abyssal		nag_neferata_abyssal		1.0	1.2	0.0	
nag_morghasts		nag_morghasts		1.0	1.0	0.05	
nag_morghasts_archai		nag_morghasts_archai		1.0	1.1	0.05	
nag_nagashi_guard		nag_nagashi_guard		1.0	1.0	0.05	
nag_nagashi_guard_halb		nag_nagashi_guard_halb		1.0	1.0	0.05	
nag_bone_golems		nag_bone_golems		1.0	0.8	0.05	
nagash_hero_barrel		nagash_hero_barrel		1.0	1.1	0.05	
nag_sand_crawlies		nag_sand_crawlies		1.0	0.4	0.05	
nag_warp_ghouls		nag_warp_ghouls		1.0	0.25	0.05	
cr_nag_carrion_mount	VariantMeshes\wh_variantmodels\bi1b\nag\nag_carrion_mount\tech	tmb_carrion		1.0	0.65	0.0	
nag_lon_mortis_sphinx	VariantMeshes\wh_variantmodels\bc1\lon\nag_lon_mortis_sphinx\tech	nag_lon_mortis_sphinx		1.0	1.0	0.05	
nag_giant_spoop		nag_giant_spoop		1.0	1.0	0.0	
nag_abyssal_razark	VariantMeshes\wh_variantmodels\bc2\emp\emp_imperial_griffon\tech	nag_abyssal_razark		1.0	1.667	0.0	
nag_abyssal_adevore	VariantMeshes\wh_variantmodels\bc2\emp\emp_imperial_griffon\tech	nag_abyssal_adevore		1.0	1.667	0.0	
nag_abyssal_ashigaroth	VariantMeshes\wh_variantmodels\bc2\emp\emp_imperial_griffon\tech	nag_abyssal_ashigaroth		1.0	1.667	0.0	
nag_bone_colossus		nag_bone_colossus		1.0	1.4	0.0	
nag_endless_tomb		nag_endless_tomb		1.0	1.0	0.0	
nag_bombardment_targeting		nag_bombardment_targeting		1.0	1.0	0.0	
nag_empty		nag_empty		1.0	1.0	0.05	
nag_spirit_host_ghost		nag_spirit_host_ghost		1.0	1.0	0.05	
nag_skeletal_cart_horse		nag_skeletal_cart_horse		1.0	1.0	0.05	
nag_virion		nag_virion		1.0	1.2	0.0	
nag_revenants		nag_revenants		1.0	1.0	0.05	
