bonus_value_id	effect	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/nagash_skills		
ammo_mod	nag_effect_army_ranged_ammo_skill	nag_army_ranged
missile_damage_ap_mod_mult	nag_effect_army_ranged_missile_strength_skill	nag_army_ranged
missile_damage_mod_mult	nag_effect_army_ranged_missile_strength_skill	nag_army_ranged
armour_mod	nag_effect_army_infantry_armour_skill	nag_army_infantry
melee_attack_mod	nag_effect_army_infantry_melee_attack_skill	nag_army_infantry
mod_land_movement_battle	nag_effect_army_cav_speed_skill	nag_army_cavalry_chariots
charge_add	nag_effect_army_cav_charge_bonus_skill	nag_army_cavalry_chariots
melee_attack_mod	nag_effect_army_beasts_melee_attack_skill	nag_army_warbeasts_monstrous_inf
charge_add	nag_effect_army_beasts_charge_bonus_skill	nag_army_warbeasts_monstrous_inf
melee_attack_mod	nag_effect_army_spirit_melee_attack_skill	nag_army_magical_spirit
melee_defence_mod	nag_effect_army_spirit_melee_defence_skill	nag_army_magical_spirit
unit_damage_resistance_magic_mod	nag_effect_army_spirit_magic_resistance_skill	nag_army_magical_spirit
melee_defence_mod	nag_effect_army_construct_melee_defence_skill	nag_army_monsters_constructs
melee_attack_mod	nag_effect_army_construct_melee_attack_skill	nag_army_monsters_constructs
charge_add	nag_effect_army_construct_charge_bonus_skill	nag_army_monsters_constructs
melee_attack_mod	nag_effect_army_vamp_melee_attack_skill	nag_army_count_units
mod_land_movement_battle	nag_effect_army_vamp_speed_skill	nag_army_count_units
melee_damage_mod_mult	nag_effect_army_vamp_damage_base_skill	nag_army_count_units
melee_defence_mod	nag_effect_army_nehek_melee_defence_skill	nag_army_nehek_units
melee_damage_mod_mult	nag_effect_army_nehek_damage_base_skill	nag_army_nehek_units
missile_damage_ap_mod_mult	nag_effect_army_coast_missile_damage_ap_skill	nag_army_coast_units
missile_damage_ap_mod_mult	nag_effect_army_coast_missile_damage_skill	nag_army_coast_units
missile_damage_mod_mult	nag_effect_army_coast_missile_damage_skill	nag_army_coast_units
missile_damage_mod_mult	nag_effect_army_coast_missile_damage_base_skill	nag_army_coast_units
unit_damage_resistance_physical_mod	nag_effect_army_coast_physical_resistance_skill	nag_army_coast_units
melee_damage_mod_mult	nag_effect_army_coast_damage_base_skill	nag_army_coast_units
unit_damage_resistance_all_mod	nag_effect_army_nagash_ward_save_skill	nag_army_nagashizzar_units
melee_damage_mod_mult	nag_effect_army_nagash_damage_base_skill	nag_army_nagashizzar_units
melee_attack_mod	nag_effect_self_arkhan_melee_attack_nehek	nag_nehekharan_warriors_horsemen_unit_set
unit_xp_mod	nag_effect_self_arkhan_rank_nehek_plus	nag_nehekharan_warriors_horsemen_plus_unit_set
melee_defence_mod	nag_effect_self_krell_infantry_melee_defence_skill	nag_army_infantry
upkeep_mod	nag_effect_self_krell_infantry_upkeep_skill	nag_grave_nagashi_guard_unit_set
missile_damage_ap_mod_mult	nag_effect_self_luthor_missile_strength_arty	nag_arty_unit_set
missile_damage_mod_mult	nag_effect_self_luthor_missile_strength_arty	nag_arty_unit_set
missile_damage_ap_mod_mult	nag_effect_self_luthor_missile_strength_gunnery_carronade	nag_gunnery_carronade_unit_set
missile_damage_mod_mult	nag_effect_self_luthor_missile_strength_gunnery_carronade	nag_gunnery_carronade_unit_set
melee_attack_mod	nag_effect_melee_attack_traitor_steed	nag_traitor_steed
melee_defence_mod	nag_effect_melee_defence_traitor_steed	nag_traitor_steed
melee_attack_mod	nag_effect_melee_attack_traitor_foot	nag_traitor_foot
melee_defence_mod	nag_effect_melee_defence_traitor_foot	nag_traitor_foot
unit_xp_mod	nag_effect_unit_xp_levels_all_horsemen_serpent_cavalry	nag_cavalry
unit_xp_mod	nag_effect_unit_xp_levels_all_skeleton	nag_skeletons
unit_damage_resistance_physical_mod	nag_effect_physical_resistance_ghouls_zombies	nag_ghouls_zombies
melee_attack_mod	nag_effect_self_vlad_to_isabella_buff	nag_vlad_to_isabella
melee_defence_mod	nag_effect_self_vlad_to_isabella_buff	nag_vlad_to_isabella
melee_attack_mod	nag_effect_self_isabella_to_vlad_buff	nag_isabella_to_vlad
melee_defence_mod	nag_effect_self_isabella_to_vlad_buff	nag_isabella_to_vlad
mod_land_movement_battle	nag_effect_self_arkhan_chariot_speed	nag_chariots
mod_land_movement_battle	nag_effect_self_neferata_speed_vampires	nag_vampiric
mod_land_movement_battle	nag_effect_speed_scorpion_crawler_skill	nag_army_speed_scorpion_crawler
unit_damage_resistance_all_mod	nag_effect_morghast_archai_ward_save	nag_morghasts_unit_set
armour_mod	nag_effect_tech_armour_all_guards	nag_grave_nagashi_guard_unit_set
