override_faction	override_subculture	source_resource	target_resource
#resource_ui_overrides_tables;0;db/resource_ui_overrides_tables/rhox_nagash			
	mixer_nag_nagash	res_location_brt_wef_hef	
	mixer_nag_nagash	res_location_brt	
	mixer_nag_nagash	res_location_def	
	mixer_nag_nagash	res_location_dwf_grn_skv	
	mixer_nag_nagash	res_location_dwf_grn	
	mixer_nag_nagash	res_location_dwf_skv	
	mixer_nag_nagash	res_location_dwf	
	mixer_nag_nagash	res_location_emp_brt	
	mixer_nag_nagash	res_location_emp_vmp_brt	
	mixer_nag_nagash	res_location_emp_vmp	
	mixer_nag_nagash	res_location_emp	
	mixer_nag_nagash	res_location_grn	
	mixer_nag_nagash	res_location_hef_def	
	mixer_nag_nagash	res_location_hef_wef	
	mixer_nag_nagash	res_location_hef	
	mixer_nag_nagash	res_location_lzd	
	mixer_nag_nagash	res_location_skv_lzd	
	mixer_nag_nagash	res_location_skv	
	mixer_nag_nagash	res_location_tmb	
	mixer_nag_nagash	res_location_vmp_arkhan	
	mixer_nag_nagash	res_location_vmp	
	mixer_nag_nagash	res_location_xef_emp_brt	
	wh_dlc03_sc_bst_beastmen	res_nag_coast	
	wh_dlc05_sc_wef_wood_elves	res_nag_coast	
	wh_main_sc_brt_bretonnia	res_nag_coast	
	wh_main_sc_chs_chaos	res_nag_coast	
	wh_main_sc_dwf_dwarfs	res_nag_coast	
	wh_main_sc_emp_empire	res_nag_coast	
	wh_main_sc_grn_greenskins	res_nag_coast	
	wh_main_sc_grn_savage_orcs	res_nag_coast	
	wh3_main_sc_ksl_kislev	res_nag_coast	
	wh_dlc08_sc_nor_norsca	res_nag_coast	
	wh_main_sc_teb_teb	res_nag_coast	
	wh_main_sc_vmp_vampire_counts	res_nag_coast	
	wh2_dlc09_sc_tmb_tomb_kings	res_nag_coast	
	wh2_dlc11_sc_cst_vampire_coast	res_nag_coast	
	wh2_main_sc_def_dark_elves	res_nag_coast	
	wh2_main_sc_hef_high_elves	res_nag_coast	
	wh2_main_sc_lzd_lizardmen	res_nag_coast	
	wh2_main_sc_skv_skaven	res_nag_coast	
	wh_dlc03_sc_bst_beastmen	res_nag_counts	
	wh_dlc05_sc_wef_wood_elves	res_nag_counts	
	wh_main_sc_brt_bretonnia	res_nag_counts	
	wh_main_sc_chs_chaos	res_nag_counts	
	wh_main_sc_dwf_dwarfs	res_nag_counts	
	wh_main_sc_emp_empire	res_nag_counts	
	wh_main_sc_grn_greenskins	res_nag_counts	
	wh_main_sc_grn_savage_orcs	res_nag_counts	
	wh3_main_sc_ksl_kislev	res_nag_counts	
	wh_dlc08_sc_nor_norsca	res_nag_counts	
	wh_main_sc_teb_teb	res_nag_counts	
	wh_main_sc_vmp_vampire_counts	res_nag_counts	
	wh2_dlc09_sc_tmb_tomb_kings	res_nag_counts	
	wh2_dlc11_sc_cst_vampire_coast	res_nag_counts	
	wh2_main_sc_def_dark_elves	res_nag_counts	
	wh2_main_sc_hef_high_elves	res_nag_counts	
	wh2_main_sc_lzd_lizardmen	res_nag_counts	
	wh2_main_sc_skv_skaven	res_nag_counts	
	wh_dlc03_sc_bst_beastmen	res_nag_nagash	
	wh_dlc05_sc_wef_wood_elves	res_nag_nagash	
	wh_main_sc_brt_bretonnia	res_nag_nagash	
	wh_main_sc_chs_chaos	res_nag_nagash	
	wh_main_sc_dwf_dwarfs	res_nag_nagash	
	wh_main_sc_emp_empire	res_nag_nagash	
	wh_main_sc_grn_greenskins	res_nag_nagash	
	wh_main_sc_grn_savage_orcs	res_nag_nagash	
	wh3_main_sc_ksl_kislev	res_nag_nagash	
	wh_dlc08_sc_nor_norsca	res_nag_nagash	
	wh_main_sc_teb_teb	res_nag_nagash	
	wh_main_sc_vmp_vampire_counts	res_nag_nagash	
	wh2_dlc09_sc_tmb_tomb_kings	res_nag_nagash	
	wh2_dlc11_sc_cst_vampire_coast	res_nag_nagash	
	wh2_main_sc_def_dark_elves	res_nag_nagash	
	wh2_main_sc_hef_high_elves	res_nag_nagash	
	wh2_main_sc_lzd_lizardmen	res_nag_nagash	
	wh2_main_sc_skv_skaven	res_nag_nagash	
	wh_dlc03_sc_bst_beastmen	res_nag_nehek	
	wh_dlc05_sc_wef_wood_elves	res_nag_nehek	
	wh_main_sc_brt_bretonnia	res_nag_nehek	
	wh_main_sc_chs_chaos	res_nag_nehek	
	wh_main_sc_dwf_dwarfs	res_nag_nehek	
	wh_main_sc_emp_empire	res_nag_nehek	
	wh_main_sc_grn_greenskins	res_nag_nehek	
	wh_main_sc_grn_savage_orcs	res_nag_nehek	
	wh3_main_sc_ksl_kislev	res_nag_nehek	
	wh_dlc08_sc_nor_norsca	res_nag_nehek	
	wh_main_sc_teb_teb	res_nag_nehek	
	wh_main_sc_vmp_vampire_counts	res_nag_nehek	
	wh2_dlc09_sc_tmb_tomb_kings	res_nag_nehek	
	wh2_dlc11_sc_cst_vampire_coast	res_nag_nehek	
	wh2_main_sc_def_dark_elves	res_nag_nehek	
	wh2_main_sc_hef_high_elves	res_nag_nehek	
	wh2_main_sc_lzd_lizardmen	res_nag_nehek	
	wh2_main_sc_skv_skaven	res_nag_nehek	
	wh_dlc03_sc_bst_beastmen	res_nag_warpstone	
	wh_dlc05_sc_wef_wood_elves	res_nag_warpstone	
	wh_main_sc_brt_bretonnia	res_nag_warpstone	
	wh_main_sc_chs_chaos	res_nag_warpstone	
	wh_main_sc_dwf_dwarfs	res_nag_warpstone	
	wh_main_sc_emp_empire	res_nag_warpstone	
	wh_main_sc_grn_greenskins	res_nag_warpstone	
	wh_main_sc_grn_savage_orcs	res_nag_warpstone	
	wh3_main_sc_ksl_kislev	res_nag_warpstone	
	wh_dlc08_sc_nor_norsca	res_nag_warpstone	
	wh_main_sc_teb_teb	res_nag_warpstone	
	wh_main_sc_vmp_vampire_counts	res_nag_warpstone	
	wh2_dlc09_sc_tmb_tomb_kings	res_nag_warpstone	
	wh2_dlc11_sc_cst_vampire_coast	res_nag_warpstone	
	wh2_main_sc_def_dark_elves	res_nag_warpstone	
	wh2_main_sc_hef_high_elves	res_nag_warpstone	
	wh2_main_sc_lzd_lizardmen	res_nag_warpstone	
	wh2_main_sc_skv_skaven	res_nag_warpstone	
