key	network	position_x	position_y	template
#teleportation_network_nodes_tables;0;db/teleportation_network_nodes_tables/rhox_nagash				
rhox_nagash_combi_province_the_desolation_of_nagash	rhox_nagash_mountain_pass	800	408	rhox_nagash_mountain_pass_template
rhox_nagash_combi_province_barrier_idols	rhox_nagash_mountain_pass	705	349	rhox_nagash_mountain_pass_template
rhox_nagash_combi_province_broken_teeth	rhox_nagash_teleportation_network	841	396	rhox_nagash_teleportation_node_template
rhox_nagash_combi_province_marshes_of_madness	rhox_nagash_teleportation_network	697	408	rhox_nagash_teleportation_node_template
rhox_nagash_combi_province_southern_sylvania	rhox_nagash_teleportation_network	721	621	rhox_nagash_teleportation_node_template
rhox_nagash_combi_province_land_of_the_dead	rhox_nagash_teleportation_network	609	299	rhox_nagash_teleportation_node_template
rhox_nagash_combi_province_vampire_coast	rhox_nagash_teleportation_network	264	261	rhox_nagash_teleportation_node_template
rhox_nagash_combi_province_titan_peaks	rhox_nagash_teleportation_network	75	581	rhox_nagash_teleportation_node_template
rhox_nagash_combi_province_crater_of_the_waking_dead	rhox_nagash_teleportation_network	806	355	rhox_nagash_teleportation_node_template
