Loc PackedFile	1
key	text	tooltip
building_sets_onscreen_name_nag_bpyramid_new_horde	[PH]	true
building_sets_onscreen_description_nag_bpyramid_new_horde	[PH]	true
building_sets_onscreen_name_nag_bpyramid_hidden	OwO	true
building_sets_onscreen_description_nag_bpyramid_hidden	[PH]	true
building_sets_onscreen_name_nag_bpyramid_settlement	Main Hall	true
building_sets_onscreen_description_nag_bpyramid_settlement	[PH]	true
building_sets_onscreen_name_nag_bpyramid_settlement_support	Obelisk	true
building_sets_onscreen_description_nag_bpyramid_settlement_support	[PH]	true
building_sets_onscreen_name_nag_bpyramid_ew_recruitment	East Wing Barracks	true
building_sets_onscreen_description_nag_bpyramid_ew_recruitment	[PH]	true
building_sets_onscreen_name_nag_bpyramid_ww_recruitment	West Wing Barracks	true
building_sets_onscreen_description_nag_bpyramid_ww_recruitment	[PH]	true
building_sets_onscreen_name_nag_bpyramid_ew_military_support	Mortuary	true
building_sets_onscreen_description_nag_bpyramid_ew_military_support	[PH]	true
building_sets_onscreen_name_nag_bpyramid_ww_military_support	Workshops	true
building_sets_onscreen_description_nag_bpyramid_ww_military_support	[PH]	true
building_sets_onscreen_name_nag_bpyramid_ew_infrastructure	East Wing Infrastructure	true
building_sets_onscreen_description_nag_bpyramid_ew_infrastructure	[PH]	true
building_sets_onscreen_name_nag_bpyramid_ww_infrastructure	West Wing Infrastructure	true
building_sets_onscreen_description_nag_bpyramid_ww_infrastructure	[PH]	true
building_sets_onscreen_name_nag_outpost_primary_outpost	[PH]	true
building_sets_onscreen_description_nag_outpost_primary_outpost	[PH]	true
building_sets_onscreen_name_nag_outpost_secondary_outpost	[PH]	true
building_sets_onscreen_description_nag_outpost_secondary_outpost	[PH]	true
building_sets_onscreen_name_nag_horde_settlement	[PH]	true
building_sets_onscreen_description_nag_horde_settlement	[PH]	true
building_sets_onscreen_name_nag_horde_unique	[PH]	true
building_sets_onscreen_description_nag_horde_unique	[PH]	true
building_sets_onscreen_name_nag_horde_recruitment	[PH]	true
building_sets_onscreen_description_nag_horde_recruitment	[PH]	true
building_sets_onscreen_name_nag_horde_military_support	[PH]	true
building_sets_onscreen_description_nag_horde_military_support	[PH]	true
building_sets_onscreen_name_nag_horde_infrastructure	[PH]	true
building_sets_onscreen_description_nag_horde_infrastructure	[PH]	true
building_sets_onscreen_name_nag_subhorde_settlement	[PH]	true
building_sets_onscreen_description_nag_subhorde_settlement	[PH]	true
building_sets_onscreen_name_nag_subhorde_unique	[PH]	true
building_sets_onscreen_description_nag_subhorde_unique	[PH]	true
building_sets_onscreen_name_nag_subhorde_recruitment	[PH]	true
building_sets_onscreen_description_nag_subhorde_recruitment	[PH]	true
building_sets_onscreen_name_nag_subhorde_military_support	[PH]	true
building_sets_onscreen_description_nag_subhorde_military_support	[PH]	true
building_sets_onscreen_name_nag_subhorde_infrastructure	[PH]	true
building_sets_onscreen_description_nag_subhorde_infrastructure	[PH]	true
building_sets_onscreen_name_nag_outpost_unique	Landmark	true
building_sets_onscreen_description_nag_outpost_unique	[PH]	true
