key	text	tooltip
#Loc;1;text/db/nag_dilemmas.loc		
dilemmas_localised_title_		true
dilemmas_localised_description_		true
dilemmas_localised_title_nag_winds	[PH] A Choice of Power	true
dilemmas_localised_description_nag_winds	[PH] Pick a spell	true
dilemmas_localised_title_nag_man	[PH] Mark a Nemesis	true
dilemmas_localised_description_nag_man	[PH] Choose what fucker you're gonna fucking destroy	true
dilemmas_localised_title_wh2_dlc11_cst_dilemma_shyish_wanes	A Fractured Mind	true
dilemmas_localised_description_wh2_dlc11_cst_dilemma_shyish_wanes	“They say the definition of insanity is doing the same thing over and over again and expecting different results. Ha, what do they know. I'm perfectly insane.”	true
dilemmas_localised_title_wh2_dlc11_cst_dilemma_shyish_wanes2	A Fractured Mind	true
dilemmas_localised_description_wh2_dlc11_cst_dilemma_shyish_wanes2	“They say the definition of insanity is doing the same thing over and over and over and over and over and over and over and over and over and over, what was i doing again?"	true
dilemmas_localised_title_wh2_dlc11_cst_dilemma_shyish_wanes3	A Fractured Mind	true
dilemmas_localised_description_wh2_dlc11_cst_dilemma_shyish_wanes3	“They say the definition of... hmmm. What! What do you want, i'm not Insane!"	true
dilemmas_localised_title_rhox_nagash_lahmia_confederate_generic	Integration?	false
dilemmas_localised_description_rhox_nagash_lahmia_confederate_generic	As the queen of the Lahmians, Neferata, you must decide the fate of your mortal vassal {{CcoCampaignEventDilemma:FirstTargetFactionNameWithIcon}}. Integrating them into your inner circle will ensure your direct control over their settlements. However, maintaining their vassal status would secure loyalty and stability, thus gaining their levies and potentially more benefits. Will you integrate this mortal vassal, encouraging cooperation but risking power struggles, or maintain their servant status for stability at the cost of their full potential?	false
cdir_events_dilemma_choice_details_localised_choice_label_rhox_nagash_lahmia_confederate_genericFIRST	Integrate them	false
cdir_events_dilemma_choice_details_localised_choice_title_rhox_nagash_lahmia_confederate_genericFIRST	They'll prosper under our direct rule	false
cdir_events_dilemma_choice_details_localised_choice_label_rhox_nagash_lahmia_confederate_genericSECOND	Leave them be	false
cdir_events_dilemma_choice_details_localised_choice_title_rhox_nagash_lahmia_confederate_genericSECOND	And recieve some levies	false
cdir_events_dilemma_choice_details_localised_choice_label_rhox_nagash_guinevere_peace_brokerFIRST	Make peace	false
cdir_events_dilemma_choice_details_localised_choice_title_rhox_nagash_guinevere_peace_brokerFIRST		false
cdir_events_dilemma_choice_details_localised_choice_label_rhox_nagash_guinevere_peace_brokerSECOND	No	false
cdir_events_dilemma_choice_details_localised_choice_title_rhox_nagash_guinevere_peace_brokerSECOND		false
dilemmas_localised_title_rhox_nagash_guinevere_peace_broker	Peace broker	false
dilemmas_localised_description_rhox_nagash_guinevere_peace_broker	In her discreet, subtle way, Genevieve has managed to make {{CcoCampaignEventDilemma:FirstTargetFactionNameWithIcon}}'s leader reconsider the war waged on you. It only took a word here, a suggestion there, underlining costs and losses, stressing possible gains, the merest touch to sway their blood-thirsty drive. Blood spilled on the battlefield is wasted blood, after all.	false
dilemmas_localised_title_rhox_nagash_azhag_recruit	Another Mortarch?	false
dilemmas_localised_description_rhox_nagash_azhag_recruit	As the warboss lays broken at your feet, you cannot help but marvel at this unlikely combination of Dhar and what the greenkins call Waaagh magic that Azhag wielded, and the potential it offered.	false
cdir_events_dilemma_choice_details_localised_choice_label_rhox_nagash_azhag_recruitFIRST	Make Azhag a Mortarch	false
cdir_events_dilemma_choice_details_localised_choice_title_rhox_nagash_azhag_recruitFIRST	Make Azhag a Mortarch	false
cdir_events_dilemma_choice_details_localised_choice_label_rhox_nagash_azhag_recruitSECOND	Ignore the primitive creature's body	false
cdir_events_dilemma_choice_details_localised_choice_title_rhox_nagash_azhag_recruitSECOND	Ignore the primitive creature's body	false
dilemmas_localised_description_rhox_nagash_bp_fly	The Black Pyramid usually hovers leisurely over the landscape, but when time is of the essence, it may be fed warpstone to give it a burst of power allowing it to soar high and strike an unsuspecting target, bypassing any obstacle that would have otherwise protected it.	false
dilemmas_localised_title_rhox_nagash_bp_fly	Flying Pyramid	false
cdir_events_dilemma_choice_details_localised_choice_label_rhox_nagash_bp_flyFIRST	First Candidate	false
cdir_events_dilemma_choice_details_localised_choice_title_rhox_nagash_bp_flyFIRST	First Candidate	false
cdir_events_dilemma_choice_details_localised_choice_label_rhox_nagash_bp_flySECOND	Second Candidate	false
cdir_events_dilemma_choice_details_localised_choice_title_rhox_nagash_bp_flySECOND	Second Candidate	false
cdir_events_dilemma_choice_details_localised_choice_label_rhox_nagash_bp_flyTHIRD	Third Candidate	false
cdir_events_dilemma_choice_details_localised_choice_title_rhox_nagash_bp_flyTHIRD	Third Candidate	false
cdir_events_dilemma_choice_details_localised_choice_label_rhox_nagash_bp_flyFOURTH	Do nothing	false
cdir_events_dilemma_choice_details_localised_choice_title_rhox_nagash_bp_flyFOURTH	Let's just stay here	false
