id	building_level	unit_group
#building_level_armed_citizenry_junctions_tables;1;db/building_level_armed_citizenry_junctions_tables/jvj_nagash_test		
2206233	nag_outpost_primary_main_1	nag_nagashi_guard
2206234	nag_outpost_primary_main_1	nag_nagashi_guard
2206235	nag_outpost_primary_main_1	nag_bone_golems
2206236	nag_outpost_primary_main_1	nag_vanilla_tmb_inf_skeleton_archers_0
2206237	nag_outpost_primary_main_1	nag_vanilla_tmb_inf_skeleton_archers_0
2206238	nag_outpost_primary_main_1	nag_vanilla_tmb_inf_skeleton_spearmen_0
2206239	nag_outpost_primary_main_1	nag_vanilla_tmb_inf_skeleton_spearmen_0
2206240	nag_outpost_primary_main_1	nag_vanilla_tmb_inf_skeleton_warriors_0
2206241	nag_outpost_primary_main_1	nag_vanilla_tmb_inf_skeleton_warriors_0
2206242	nag_outpost_primary_main_1	nag_vanilla_vmp_inf_cairn_wraiths
2206243	nag_outpost_primary_main_1	nag_vanilla_vmp_mon_fell_bats
2206244	nag_outpost_primary_main_1	nag_vanilla_vmp_mon_fell_bats
2206245	nag_outpost_primary_main_2	nag_nagashi_guard
2206246	nag_outpost_primary_main_2	nag_nagashi_guard
2206247	nag_outpost_primary_main_2	nag_bone_golems
2206248	nag_outpost_primary_main_2	nag_vanilla_tmb_inf_skeleton_archers_0
2206249	nag_outpost_primary_main_2	nag_vanilla_tmb_inf_skeleton_archers_0
2206250	nag_outpost_primary_main_2	nag_vanilla_tmb_inf_skeleton_spearmen_0
2206251	nag_outpost_primary_main_2	nag_vanilla_tmb_inf_skeleton_spearmen_0
2206252	nag_outpost_primary_main_2	nag_vanilla_tmb_inf_skeleton_warriors_0
2206253	nag_outpost_primary_main_2	nag_vanilla_tmb_inf_skeleton_warriors_0
2206254	nag_outpost_primary_main_2	nag_vanilla_vmp_inf_cairn_wraiths
2206255	nag_outpost_primary_main_2	nag_vanilla_vmp_mon_fell_bats
2206256	nag_outpost_primary_main_2	nag_vanilla_vmp_mon_fell_bats
2206257	nag_outpost_primary_main_2	nag_bone_thrower
2206258	nag_outpost_primary_main_2	nag_bone_thrower
