attribute	attribute_group
#unit_attributes_to_groups_junctions_tables;2;db/unit_attributes_to_groups_junctions_tables/rhox_nagash	
construct	nag_bone_colossus
causes_fear	nag_bone_colossus
causes_terror	nag_bone_colossus
wallbreaker	nag_bone_colossus
causes_fear	nag_spectre_swarm
causes_terror	nag_spectre_swarm
strider	nag_spectre_swarm
guerrilla_deploy	nag_spectre_swarm
undead	nag_spectre_swarm
causes_fear	nag_shade_haunts
causes_terror	nag_shade_haunts
strider	nag_shade_haunts
guerrilla_deploy	nag_shade_haunts
hide_forest	nag_shade_haunts
undead	nag_shade_haunts
causes_fear	nag_spirit_hosts
strider	nag_spirit_hosts
undead	nag_spirit_hosts
causes_fear	nag_undead_chariot_unit_attributes
hide_forest	nag_undead_chariot_unit_attributes
undead	nag_undead_chariot_unit_attributes
causes_fear	nag_inf_skeleton_warriors_endless_tomb_summoned
hide_forest	nag_inf_skeleton_warriors_endless_tomb_summoned
undead	nag_inf_skeleton_warriors_endless_tomb_summoned
causes_fear	nag_cav_hexwraiths_0_summon
causes_terror	nag_cav_hexwraiths_0_summon
guerrilla_deploy	nag_cav_hexwraiths_0_summon
hide_forest	nag_cav_hexwraiths_0_summon
strider	nag_cav_hexwraiths_0_summon
undead	nag_cav_hexwraiths_0_summon
causes_fear	nag_cav_black_knights_0_summon
hide_forest	nag_cav_black_knights_0_summon
undead	nag_cav_black_knights_0_summon
causes_fear	nag_hero_warsphinx_summon
causes_terror	nag_hero_warsphinx_summon
construct	nag_hero_warsphinx_summon
causes_fear	nag_hero_team_summon
encourages	nag_hero_team_summon
hide_forest	nag_hero_team_summon
mounted_fire_move	nag_hero_team_summon
undead	nag_hero_team_summon
causes_fear	nag_morghasts
causes_terror	nag_morghasts
encourages	nag_morghasts
hide_forest	nag_morghasts
undead	nag_morghasts
strider	nag_morghasts
flying	nag_morghasts
causes_fear	nag_nagashi_guard
hide_forest	nag_nagashi_guard
undead	nag_nagashi_guard
causes_fear	nag_nagashi_guard_halb
hide_forest	nag_nagashi_guard_halb
undead	nag_nagashi_guard_halb
causes_fear	nag_mortis_engine
causes_terror	nag_mortis_engine
strider	nag_mortis_engine
undead	nag_mortis_engine
cant_run	nag_bone_thrower
causes_fear	nag_bone_thrower
undead	nag_bone_thrower
causes_fear	nag_bone_golems
charge_reflection	nag_bone_golems
hide_forest	nag_bone_golems
undead	nag_bone_golems
causes_fear	nag_inf_zombie_construct
hide_forest	nag_inf_zombie_construct
undead	nag_inf_zombie_construct
causes_fear	nag_inf_crypt_ghouls_construct
hide_forest	nag_inf_crypt_ghouls_construct
undead	nag_inf_crypt_ghouls_construct
causes_fear	nag_mon_crypt_horrors_construct
undead	nag_mon_crypt_horrors_construct
causes_fear	nag_sand_crawlies
guerrilla_deploy	nag_sand_crawlies
hide_forest	nag_sand_crawlies
stalk	nag_sand_crawlies
undead	nag_sand_crawlies
causes_fear	nag_warp_ghouls
guerrilla_deploy	nag_warp_ghouls
hide_forest	nag_warp_ghouls
undead	nag_warp_ghouls
causes_fear	nag_carrion_riders
causes_terror	nag_carrion_riders
guerrilla_deploy	nag_carrion_riders
undead	nag_carrion_riders
flying	nag_carrion_riders
causes_fear	nag_giant_spoop
causes_terror	nag_giant_spoop
construct	nag_giant_spoop
causes_fear	nag_endless_tomb
causes_terror	nag_endless_tomb
construct	nag_endless_tomb
causes_fear	nag_bombardment_targeting
causes_terror	nag_bombardment_targeting
construct	nag_bombardment_targeting
causes_fear	nag_virion_plaguecart
causes_terror	nag_virion_plaguecart
hide_forest	nag_virion_plaguecart
undead	nag_virion_plaguecart
causes_fear	nag_revenants
causes_terror	nag_revenants
hide_forest	nag_revenants
strider	nag_revenants
undead	nag_revenants
causes_fear	nag_cha_liche_priest_undeath_0_attributes
encourages	nag_cha_liche_priest_undeath_0_attributes
hide_forest	nag_cha_liche_priest_undeath_0_attributes
undead	nag_cha_liche_priest_undeath_0_attributes
causes_fear	nag_cha_liche_priest_undeath_1_attributes
encourages	nag_cha_liche_priest_undeath_1_attributes
hide_forest	nag_cha_liche_priest_undeath_1_attributes
undead	nag_cha_liche_priest_undeath_1_attributes
