building_chain	building_instance	building_or_building_range_start_inclusive	building_range_end_inclusive	building_super_chain	cai_construction_system_category	cai_construction_system_category_group	campaign	culture	faction	sub_culture	per_faction_building_limit_start	per_faction_building_limit_end	per_faction_building_minimum_discount_when_exceeding_limit_start	per_faction_building_maximum_discount_when_exceeding_limit_start	per_faction_building_minimum_discount_when_exceeding_limit_end	per_faction_building_maximum_discount_when_exceeding_limit_end	per_faction_per_building_discount_increment_when_exceeding_limit_start	per_faction_per_building_discount_increment_when_exceeding_limit_end	per_province_building_limit_start	per_province_building_limit_end	per_province_building_minimum_discount_when_exceeding_limit_start	per_province_building_maximum_discount_when_exceeding_limit_start	per_province_building_minimum_discount_when_exceeding_limit_end	per_province_building_maximum_discount_when_exceeding_limit_end	per_province_per_building_discount_increment_when_exceeding_limit_start	per_province_per_building_discount_increment_when_exceeding_limit_end	score_end_inclusive	score_or_score_start_inclusive
#cai_construction_system_building_values_tables;0;db/cai_construction_system_building_values_tables/jvj_nagash_test																												
		nag_outpost_primary_main_1	nag_outpost_primary_main_3			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	60	25
		nag_outpost_secondary_main_1	nag_outpost_secondary_main_1			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	60	25
		nag_outpost_main_port_1	nag_outpost_main_port_1			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	50	50
		nag_outpost_special_nagashizzar_1	nag_outpost_special_nagashizzar_5			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	60	25
		nag_outpost_special_mourkain_1	nag_outpost_special_mourkain_5			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	60	25
		nag_outpost_special_lahmia_1	nag_outpost_special_lahmia_5			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	60	25
		nag_outpost_special_khemri_1	nag_outpost_special_khemri_5			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	60	25
		nag_outpost_special_awakening_1	nag_outpost_special_awakening_5			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	60	25
		nag_outpost_special_drakenhof_1	nag_outpost_special_drakenhof_5			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	60	25
		nag_outpost_special_quintex_1	nag_outpost_special_quintex_5			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	60	25
		nag_outpost_primary_research_1	nag_outpost_primary_research_1			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	60	25
		nag_outpost_primary_arcane_1	nag_outpost_primary_arcane_1			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	60	25
		nag_outpost_primary_support_1	nag_outpost_primary_support_1			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	60	25
		nag_outpost_primary_nehek_1	nag_outpost_primary_nehek_1			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	60	50
		nag_outpost_primary_nagashizzar_1	nag_outpost_primary_nagashizzar_1			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	60	50
		nag_outpost_primary_coast_1	nag_outpost_primary_coast_1			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	60	50
		nag_outpost_primary_count_1	nag_outpost_primary_count_1			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	60	50
		nag_outpost_primary_warpstone_1	nag_outpost_primary_warpstone_1			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	60	100
		nag_outpost_secondary_fields_1	nag_outpost_secondary_fields_1			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	10	10
		nag_outpost_secondary_corruption_1	nag_outpost_secondary_corruption_1			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	10	10
		nag_outpost_secondary_syphon_1	nag_outpost_secondary_syphon_1			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	10	10
		nag_outpost_secondary_energy_1	nag_outpost_secondary_energy_1			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	10	10
		nag_settlement_cavalry_1	nag_settlement_cavalry_4			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	25	25
		nag_settlement_chariots_1	nag_settlement_chariots_3			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	25	25
		nag_settlement_citadel_1	nag_settlement_citadel_1			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	25	25
		nag_settlement_defence_major_1	nag_settlement_defence_major_3			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	20	20
		nag_settlement_estate_1	nag_settlement_estate_1			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	25	25
		nag_settlement_growth_1	nag_settlement_growth_3			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	10	10
		nag_settlement_hierotitan_1	nag_settlement_hierotitan_1			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	50	50
		nag_settlement_income_1	nag_settlement_income_3			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	100	100
		nag_settlement_infantry_1	nag_settlement_infantry_3			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	50	50
		nag_settlement_necrosphinx_1	nag_settlement_necrosphinx_1			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	50	50
		nag_settlement_scorpions_1	nag_settlement_scorpions_1			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	50	50
		nag_settlement_ushabti_1	nag_settlement_ushabti_2			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	50	50
		nag_settlement_warsphinx_1	nag_settlement_warsphinx_1			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	50	50
		nag_settlement_priest_1	nag_settlement_priest_2			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	100	100
		nag_settlement_spirit_1	nag_settlement_spirit_4			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	50	50
		nag_resource_gemstones_1	nag_resource_gemstones_3			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	100	100
		nag_resource_obsidian_1	nag_resource_obsidian_3			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	100	100
		nag_resource_dyes_1	nag_resource_dyes_3			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	100	100
		nag_resource_furs_1	nag_resource_furs_3			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	100	100
