unit_special_abilities_tables	52
key	active_time	recharge_time	num_uses	effect_range	affect_self	num_effected_friendly_units	num_effected_enemy_units	update_targets_every_frame	initial_recharge	activated_projectile	target_friends	target_enemies	target_ground	target_intercept_range	assume_specific_behaviour	clear_current_order	wind_up_time	passive	unique_id	bombardment	spawned_unit	wind_up_stance	mana_cost	min_range	targetting_aoe	passive_aoe	active_aoe	activation_effect	vortex	miscast_chance	miscast_explosion	ai_usage	audio	special_ability_display	voiceover_state	additional_melee_cp	additional_missile_cp	parent_ability	spawn_type	spawn_proxy_vfx	target_ground_under_allies	target_ground_under_enemies	miscast_global_bonus	target_self	composite_scene_group_on_wind_up	composite_scene_group_on_active	spawn_is_transformation	wind_down_stance	use_loop_stance	spawn_is_decoy	only_affect_owned_units	ability_available_ui_event	shared_recharge_time
nag_unit_passive_mortal_realm_of_souls	-1.0	-1.0	-1	0.0	true	0	0	false	-1.0		false	false	false	0.0		false	0.0	true	365884120				0.0	0.0	wh_abilities_generic_regeneration_no_ring					0.0					vo_battle_special_ability_generic_response	40.0	39.0				false	false	true	false			false		false	false	false		-1.0
nag_krell_passive_mortarch_of_despair	24.0	240.0	-1	0.0	false	0	0	false	60.0		false	true	false	70.0		false	0.0	false	365884121				0.0	0.0	wh_abilities_generic_debuff					1.0	nag_krell_mortarch_of_despair		wh_dlc08_abilities_hunter_of_champions		vo_battle_special_ability_spell_cast_negative	81.0	81.0				false	false	true	false			false		false	false	false		-1.0
nag_krell_armour_passive_armour_of_barrow	-1.0	-1.0	-1	20.0	false	0	-1	true	-1.0		false	false	false	0.0		false	0.0	true	365884122				0.0	0.0	wh_abilities_generic_debuff					0.0					vo_battle_special_ability_generic_response	240.0	0.0				false	false	true	false			false		false	false	false		-1.0
nag_vlad_passive_mortarch_of_shadows_aura_upgrade	-1.0	-1.0	-1	60.0	false	0	-1	true	-1.0		false	false	false	0.0		false	0.0	true	365884123				0.0	0.0	wh_abilities_generic_debuff					0.0					vo_battle_special_ability_generic_response	40.0	40.0				false	false	true	false			false		false	false	false		-1.0
nag_vlad_passive_mortarch_of_shadows_aura	-1.0	-1.0	-1	40.0	false	0	-1	true	-1.0		false	false	false	0.0		false	0.0	true	365884124				0.0	0.0	wh_abilities_generic_debuff					0.0					vo_battle_special_ability_generic_response	40.0	40.0				false	false	true	false			false		false	false	false		-1.0
nag_arkhan_abilities_mortarch_of_sacrements_swarm	18.0	120.0	2	30.0	false	0	-1	true	45.0		false	false	true	-1.0		false	5.0	false	365884125				0.0	0.0	wh_army_abilities_generic_direct_damage_area	wh_army_abilities_generic_direct_damage_area	wh2_dlc09_army_abilities_tomb_swarm		wh2_dlc09_army_abilities_tomb_swarm	0.0		aoe	wh_group_unit		vo_battle_special_ability_spell_cast_negative	0.0	238.0				false	true	true	false			false		false	false	false		-1.0
nag_bound_spell_nagash_dark_riders	1.0	120.0	2	0.0	false	1	0	false	0.0		true	false	true	60.0		false	3.0	false	365884126		nag_cav_black_knights_0_summon	cast_up_medium	0.0	0.0	wh_abilities_generic_spawn	wh_abilities_generic_spawn				0.0		threatened	wh_main_spell_vampires_raise_dead	dark_magic_medium	vo_battle_special_ability_raise_dead	81.0	81.0			wh_main_targeting_pre_spawn_group_ui_central	false	false	true	true			false		false	false	false		-1.0
nag_bound_spell_nagash_hand_of_dust	0.1	120.0	2	0.0	false	0	0	false	0.0	wh_main_spell_nagash_hand_of_dust	false	true	false	80.0		false	0.0	false	365884127			cast_forward_short	0.0	0.0	wh_spell_generic_bombardment	wh_spell_generic_bombardment	wh_spell_generic_bombardment_active			0.0		aoe_bombardment	wh2_main_spell_dark_magic_doombolt	dark_magic_long	vo_battle_special_ability_spell_cast_negative	0.0	245.0				false	false	true	false			false		false	false	false		-1.0
nag_bound_spell_nagash_breath_of_darkness	18.0	120.0	2	0.0	true	1	0	false	0.0		true	false	false	200.0		false	1.0	false	365884128			cast_forward_short	0.0	0.0	wh_abilities_generic_regeneration_no_ring	wh_abilities_generic_regeneration_no_ring	wh_main_spell_nagash_breath_of_darkness			0.0		healing	wh_main_spell_vampires_invocation_of_nehek	dark_magic_short	vo_battle_special_ability_spell_cast_positive	40.0	40.0				false	false	true	true			false		false	false	false		-1.0
nag_bound_spell_nagash_abyssal_swarm	20.0	120.0	2	0.0	false	0	0	false	0.0		false	true	true	150.0		false	3.0	false	365884129			cast_up_long	0.0	20.0	wh_abilities_generic_breath	wh_abilities_generic_breath			wh_main_spell_nagash_abyssal_swarm	0.0		vortex_wind		dark_magic_long	vo_battle_special_ability_spell_cast_negative	0.0	236.0				false	false	true	false			false		false	false	false		-1.0
