invalid_target	special_ability
#special_ability_to_invalid_target_flags_tables;0;db/special_ability_to_invalid_target_flags_tables/nagash	
hp_replenish_cap_reached	wh_main_spell_nagash_breath_of_darkness_upgraded
living_unit	wh_main_spell_nagash_breath_of_darkness_upgraded
engaged_in_melee	wh_main_spell_nagash_breath_of_darkness_upgraded
on_a_platform	wh_main_spell_nagash_breath_of_darkness_upgraded
hp_replenish_cap_reached	wh_main_spell_nagash_breath_of_darkness
living_unit	wh_main_spell_nagash_breath_of_darkness
engaged_in_melee	wh_main_spell_nagash_breath_of_darkness
on_a_platform	wh_main_spell_nagash_breath_of_darkness
unit_is_not_construct	wh_main_spell_nagash_grave_call_01
unit_is_not_construct	wh_main_spell_nagash_grave_call_02
unit_is_not_commander_class	wh_main_spell_nagash_grave_call_01
unit_is_not_commander_class	wh_main_spell_nagash_grave_call_02
hp_replenish_cap_reached	nag_bound_spell_nagash_breath_of_darkness
living_unit	nag_bound_spell_nagash_breath_of_darkness
engaged_in_melee	nag_bound_spell_nagash_breath_of_darkness
on_a_platform	nag_bound_spell_nagash_breath_of_darkness
flying_currently	nag_bound_spell_deep_krakens_pull
on_a_platform	nag_bound_spell_deep_krakens_pull
hp_replenish_cap_reached	wh_main_spell_nagash_soul_stealer
living_unit	wh_main_spell_nagash_soul_stealer
on_a_platform	wh_main_spell_nagash_soul_stealer
hp_replenish_cap_reached	nag_bound_spell_nagash_soul_stealer
living_unit	nag_bound_spell_nagash_soul_stealer
on_a_platform	nag_bound_spell_nagash_soul_stealer
grounded	wh_main_spell_nagash_abyssal_swarm_upgrade
on_a_platform	nag_bound_spell_nagash_purple_sun
on_a_platform	nag_bound_spell_nagash_banishment
flying_currently	nag_bound_spell_nagash_wind_of_death
on_a_platform	nag_bound_spell_nagash_wind_of_death
on_a_platform	nag_bound_spell_nagash_skullstorm
climbing_manning_eq_on_platform	nag_arkhan_abilities_mortarch_of_sacrements_swarm
unit_is_not_commander_class	nag_neferata_abilities_mortarch_of_blood_death
health_above_50%	nag_neferata_abilities_mortarch_of_blood_death
unit_is_not_commander_class	nag_krell_passive_mortarch_of_despair
morale_is_higher_than_wavering	nag_krell_passive_mortarch_of_despair
hp_replenish_cap_reached	nag_double_spell_vampires_invocation_of_nehek_upgraded
living_unit	nag_double_spell_vampires_invocation_of_nehek_upgraded
on_a_platform	nag_double_spell_vampires_invocation_of_nehek_upgraded
hp_replenish_cap_reached	nag_double_spell_vampires_invocation_of_nehek
living_unit	nag_double_spell_vampires_invocation_of_nehek
on_a_platform	nag_double_spell_vampires_invocation_of_nehek
climbing_manning_eq_on_platform	nag_double_spell_vampires_raise_dead_upgraded
climbing_manning_eq_on_platform	nag_double_spell_vampires_raise_dead
flying_currently	nag_double_spell_vampires_wind_of_death_upgraded
on_a_platform	nag_double_spell_vampires_wind_of_death_upgraded
flying_currently	nag_double_spell_vampires_wind_of_death
on_a_platform	nag_double_spell_vampires_wind_of_death
