effect	bonus_value_id	agent
#effect_bonus_value_agent_junction_tables;0;db/effect_bonus_value_agent_junction_tables/nagash		
nag_effect_agent_cap_increase_gunnery_wight	cap	engineer
nag_effect_agent_cap_increase_vampire	cap	dignitary
nag_effect_agent_cap_increase_prince_wight	cap	champion
nag_effect_agent_cap_increase_archai	cap	spy
nag_effect_agent_cap_increase_liche_priest	cap	wizard
nag_effect_agent_enable_recruitment_wizard_tmb	availability	wizard
nag_effect_agent_enable_recruitment_champion_tmb	availability	champion
nag_effect_agent_enable_recruitment_dignitary_vmp	availability	dignitary
nag_effect_agent_enable_recruitment_champion_vmp	availability	champion
nag_effect_agent_enable_recruitment_engineer_cst	availability	engineer
nag_effect_agent_enable_recruitment_archai	availability	spy
nag_effect_agent_recruitment_xp_spy_archai	recruitment_level	spy
nag_effect_agent_recruitment_xp_champion_wight_king_tomb_prince	recruitment_level	champion
nag_effect_agent_recruitment_xp_wizard_liche_priests	recruitment_level	wizard
nag_effect_agent_recruitment_xp_engineer_gunnery_wight	recruitment_level	engineer
nag_effect_agent_recruitment_xp_dignitary_vampires	recruitment_level	dignitary
nag_effect_agent_recruitment_xp_hero_all	recruitment_level	spy
nag_effect_agent_recruitment_xp_hero_all	recruitment_level	champion
nag_effect_agent_recruitment_xp_hero_all	recruitment_level	wizard
nag_effect_agent_recruitment_xp_hero_all	recruitment_level	engineer
nag_effect_agent_recruitment_xp_hero_all	recruitment_level	dignitary
nag_effect_agent_recruitment_xp_general_traitor_kings	recruitment_level	general
nag_effect_agent_recruitment_xp_general_traitor_kings_hidden	recruitment_level	general
