battle_context_key	culture_key
#campaign_bonus_value_battle_context_culture_junctions_tables;0;db/campaign_bonus_value_battle_context_culture_junctions_tables/rhox_nagash	
fighting_culture_gullable	wh2_dlc09_tmb_tomb_kings
fighting_culture_gullable	wh2_dlc11_cst_vampire_coast
fighting_culture_gullable	wh_main_vmp_vampire_counts
fighting_culture_gullable	wh2_main_def_dark_elves
fighting_culture_gullable	wh2_main_hef_high_elves
fighting_culture_gullable	wh_dlc05_wef_wood_elves
fighting_culture_gullable	wh_main_dwf_dwarfs
fighting_culture_gullable	wh_main_emp_empire
fighting_culture_gullable	wh_main_brt_bretonnia
fighting_culture_gullable	wh_dlc08_nor_norsca
fighting_culture_living	wh2_main_def_dark_elves
fighting_culture_living	wh2_main_hef_high_elves
fighting_culture_living	wh_dlc05_wef_wood_elves
fighting_culture_living	wh2_main_lzd_lizardmen
fighting_culture_living	wh2_main_skv_skaven
fighting_culture_living	wh_dlc03_bst_beastmen
fighting_culture_living	wh_main_chs_chaos
fighting_culture_living	wh_dlc08_nor_norsca
fighting_culture_living	wh_main_dwf_dwarfs
fighting_culture_living	wh_main_grn_greenskins
fighting_culture_living	wh_main_brt_bretonnia
fighting_culture_living	wh_main_emp_empire
fighting_culture_vampire_coast_counts	wh2_dlc11_cst_vampire_coast
fighting_culture_vampire_coast_counts	wh_main_vmp_vampire_counts
fighting_culture_gullable	wh3_main_cth_cathay
fighting_culture_living	wh3_main_cth_cathay
fighting_culture_living	wh3_main_ogr_ogre_kingdoms
fighting_culture_gullable	wh3_main_ksl_kislev
fighting_culture_living	wh3_main_ksl_kislev
